hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud
8,0,0,Canada,Mumbai,Clothing,Debit Card,Tablet,36,673,0.8,1303.63,31.83,152,24,10.8,12.6,0,1,0,0
14,0,0,Germany,Osaka,Entertainment,Mobile Payment,Mobile,41,748,1.1,4599.24,91.0,143,22,8.8,8.42,0,0,0,0
5,1,1,Brazil,Vancouver,ATM Withdrawal,Debit Card,Desktop,53,812,4.4,3101.83,53.01,151,29,29.4,8.97,1,2,0,0
16,0,0,UK,Munich,Online Shopping,Mobile Payment,Desktop,27,826,6.6,9316.57,59.59,137,19,18.6,17.58,0,0,0,0
1,0,1,USA,Rio,Clothing,Mobile Payment,ATM,44,747,1.8,2336.82,11.2,173,20,29.2,25.71,0,3,0,0
13,1,0,USA,Melbourne,Entertainment,Debit Card,Mobile,47,691,3.4,16095.34,3.04,165,19,24.8,3.75,0,0,0,0
18,1,0,Japan,São Paulo,Electronics,Credit Card,Mobile,22,673,1.3,2524.41,374.11,151,18,5.0,7.73,0,0,0,0
10,0,0,Mexico,Munich,Grocery,Credit Card,Desktop,44,639,7.3,23822.27,27.72,144,17,30.1,24.04,0,0,0,0
13,0,0,Canada,London,Entertainment,Mobile Payment,Tablet,41,510,7.0,1147.61,80.73,124,11,7.2,28.04,0,0,0,0
3,0,1,USA,Munich,Jewelry,Debit Card,POS Terminal,36,599,5.2,60288.24,419.51,151,20,14.6,4.1,0,0,0,0
18,1,0,USA,Los Angeles,Restaurant,Credit Card,Mobile,61,697,0.9,3201.49,43.88,133,22,37.8,6.26,0,0,0,0
7,0,0,India,Rio,Clothing,Debit Card,Desktop,53,617,1.0,8475.41,219.65,160,17,0.8,13.39,0,0,0,0
9,1,0,Japan,New York,Travel,Credit Card,Mobile,25,712,4.2,24196.71,125.32,132,21,13.1,6.3,0,0,1,0
20,0,0,France,Toronto,Gaming,Mobile Payment,Mobile,37,781,6.5,10495.43,21.89,148,21,42.6,0.11,0,0,0,0
15,0,0,UK,Sydney,ATM Withdrawal,Credit Card,Desktop,22,662,7.3,8412.22,268.15,169,25,14.2,9.66,0,0,0,0
20,0,0,Brazil,Guadalajara,Education,Debit Card,Tablet,51,629,6.6,1851.59,67.42,142,20,7.2,0.04,0,0,0,0
10,0,0,USA,Sydney,Crypto Exchange,Credit Card,Mobile,18,734,5.2,2108.92,3.86,146,10,0.9,5.46,0,0,0,0
16,1,0,USA,Mexico City,Electronics,Crypto,Desktop,56,653,1.8,10165.54,146.83,157,21,64.9,38.85,1,0,0,0
11,0,0,Japan,Berlin,Jewelry,Debit Card,ATM,62,593,5.7,136808.07,613.5,134,26,68.2,22.0,0,0,0,0
17,1,0,India,Berlin,Crypto Exchange,Bank Transfer,ATM,49,750,7.3,5271.8,85.45,169,20,11.3,1.73,0,2,0,0
3,1,1,India,Tokyo,ATM Withdrawal,Mobile Payment,Mobile,52,568,5.5,6388.49,25.67,156,34,4.0,18.42,1,0,1,0
7,1,0,India,New York,Utilities,Debit Card,ATM,26,732,9.1,10692.3,19.65,156,19,12.2,1.86,0,0,0,0
16,0,0,France,Sydney,Electronics,Crypto,Desktop,30,613,1.6,12072.62,250.67,169,24,2.8,6.35,0,2,0,0
20,0,0,Mexico,Osaka,Fuel,Mobile Payment,Mobile,32,650,0.5,3174.99,874.37,139,19,3.7,23.74,1,0,0,0
17,0,0,USA,Lyon,Grocery,Credit Card,ATM,59,745,0.2,5620.15,35.08,161,18,1.7,14.38,1,0,0,0
11,0,0,Japan,São Paulo,Electronics,Mobile Payment,Desktop,18,634,9.0,5006.01,384.51,137,22,17.6,1.16,0,0,0,0
21,0,0,Australia,Delhi,Crypto Exchange,Mobile Payment,POS Terminal,23,623,19.4,42162.92,173.95,169,18,1.4,6.47,0,0,0,0
11,1,0,Japan,Vancouver,Grocery,Credit Card,Mobile,24,761,2.7,22696.02,118.15,127,18,8.4,11.48,0,0,0,0
20,0,0,Mexico,London,Utilities,Debit Card,Desktop,48,683,24.0,3133.19,152.85,140,21,0.2,17.11,0,0,0,0
21,1,0,India,Sydney,Jewelry,Bank Transfer,Mobile,54,567,15.2,518.09,159.84,140,12,8.7,11.47,0,5,0,0
4,0,1,USA,Osaka,Utilities,Bank Transfer,Desktop,34,502,0.7,11542.42,255.02,152,20,14.3,4.37,0,1,0,0
16,0,0,Brazil,Lyon,ATM Withdrawal,Debit Card,Tablet,18,700,5.7,75516.19,32.22,143,19,4.6,5.47,0,0,0,1
17,0,0,Canada,Manchester,Online Shopping,Credit Card,Desktop,32,747,1.3,21816.09,74.35,146,29,30.8,34.56,0,0,0,0
9,1,0,USA,Manchester,Fuel,Mobile Payment,Desktop,38,805,9.4,2401.86,33.62,146,25,42.2,51.39,1,1,0,0
21,1,0,Brazil,London,Jewelry,Bank Transfer,ATM,34,709,0.3,2728.14,546.46,156,20,26.2,6.55,0,0,0,0
12,0,0,India,Los Angeles,Electronics,Credit Card,Mobile,43,850,10.1,51103.2,128.84,136,15,20.5,10.1,0,0,0,0
14,0,0,UK,Los Angeles,Entertainment,Mobile Payment,POS Terminal,57,808,2.1,25588.31,248.93,165,21,3.3,17.33,0,0,0,0
5,0,1,UK,Los Angeles,Jewelry,Bank Transfer,Mobile,41,587,1.1,4380.58,131.75,140,15,7.2,4.27,0,0,0,0
2,0,1,UK,Berlin,Utilities,Debit Card,POS Terminal,32,684,0.2,3627.05,204.83,135,20,28.2,21.15,0,0,0,0
13,0,0,USA,São Paulo,Education,Bank Transfer,Mobile,67,628,0.1,1774.87,51.58,139,24,28.4,5.16,0,0,0,1
20,0,0,Brazil,Vancouver,Restaurant,Debit Card,Mobile,57,680,8.8,18276.93,85.23,131,29,5.4,6.29,0,0,0,0
23,0,1,India,Melbourne,Entertainment,Debit Card,Mobile,42,714,11.2,2260.16,32.0,165,13,23.1,4.47,0,0,0,0
2,0,1,USA,Mumbai,ATM Withdrawal,Mobile Payment,Desktop,30,700,0.7,8681.2,22.91,144,16,46.3,10.57,0,0,0,0
7,1,0,USA,Vancouver,Travel,Bank Transfer,Desktop,35,619,13.4,3469.66,879.14,154,16,64.0,8.98,0,0,0,0
12,0,0,India,Delhi,Travel,Credit Card,POS Terminal,32,654,12.3,20719.76,217.96,144,28,7.4,13.91,0,0,0,0
22,1,1,USA,Mexico City,Healthcare,Credit Card,Tablet,62,658,1.8,4975.95,196.48,149,31,0.2,24.74,0,0,0,0
14,0,0,France,Los Angeles,Clothing,Debit Card,Desktop,49,850,2.7,45423.63,170.43,137,24,25.0,8.85,1,0,0,0
18,0,0,India,Delhi,Electronics,Debit Card,ATM,46,601,6.2,21762.98,550.72,135,17,29.3,7.09,1,0,0,0
9,0,0,Mexico,Vancouver,Online Shopping,Mobile Payment,Mobile,49,671,10.5,56260.94,47.68,149,20,2.1,27.61,1,0,0,0
11,1,0,France,Delhi,Clothing,Cheque,POS Terminal,27,530,1.2,2270.6,84.59,151,15,28.4,28.08,1,1,0,0
14,0,0,Germany,Delhi,Fuel,Credit Card,Mobile,32,671,2.5,25162.27,37.66,149,16,43.5,4.15,0,0,0,0
0,0,1,USA,Mexico City,Entertainment,Debit Card,Mobile,43,653,2.7,10369.6,207.98,155,18,0.1,15.61,0,0,0,0
9,0,0,Japan,Lyon,Restaurant,Credit Card,Mobile,44,784,0.2,44350.14,50.84,146,18,9.2,4.82,0,0,0,0
6,0,1,USA,Munich,Gaming,Debit Card,Mobile,45,727,0.2,19913.72,102.02,151,21,24.6,18.78,1,0,0,0
12,0,0,USA,São Paulo,Online Shopping,Bank Transfer,Mobile,30,606,1.5,2470.72,70.96,140,24,3.9,4.75,0,0,0,0
18,0,0,USA,Mumbai,Restaurant,Crypto,POS Terminal,23,799,1.2,13611.73,32.49,157,14,13.9,18.57,1,0,0,0
9,0,0,Mexico,Munich,Crypto Exchange,Crypto,Tablet,44,750,0.9,22858.01,106.84,146,28,10.7,2.71,0,0,0,0
11,1,0,USA,London,Jewelry,Debit Card,POS Terminal,36,617,12.1,15623.51,218.03,162,20,13.7,37.15,0,0,0,0
14,1,0,USA,Lyon,Travel,Bank Transfer,Mobile,33,771,2.6,52870.44,214.28,163,20,1.3,8.45,1,0,0,0
5,0,1,Japan,Vancouver,Entertainment,Credit Card,Mobile,28,554,1.3,43493.72,15.95,155,20,14.1,9.96,0,0,0,1
3,1,1,Germany,São Paulo,Restaurant,Crypto,Desktop,28,605,7.0,593.38,121.04,147,21,4.1,5.64,0,1,0,0
3,0,1,Brazil,Tokyo,Restaurant,Debit Card,Mobile,27,673,0.5,459.86,50.52,142,12,70.5,17.35,0,0,0,0
21,0,0,Australia,Paris,Electronics,Debit Card,Desktop,37,740,7.3,648.04,172.49,136,18,43.3,33.79,0,0,0,0
5,0,1,France,New York,Online Shopping,Credit Card,ATM,39,712,0.3,1580.91,98.75,158,23,3.3,3.01,0,1,0,0
20,0,0,Germany,New York,Grocery,Credit Card,Desktop,42,623,4.4,2678.54,50.08,161,27,9.7,14.53,0,0,0,0
17,1,0,USA,Mumbai,Utilities,Cheque,Mobile,33,563,7.5,74398.25,30.04,161,15,15.3,15.6,0,0,0,0
11,0,0,France,Mexico City,Fuel,Bank Transfer,Desktop,45,757,2.6,2335.79,29.73,127,15,80.4,13.76,0,2,0,0
6,1,1,USA,New York,Healthcare,Debit Card,Mobile,39,583,3.8,6609.59,58.56,151,24,6.9,6.1,0,0,0,1
9,1,0,Brazil,London,Utilities,Mobile Payment,Mobile,52,580,0.6,10029.75,135.12,148,20,30.6,16.65,0,0,0,0
19,0,0,USA,Toronto,Online Shopping,Credit Card,Mobile,40,507,11.1,2957.14,88.94,156,13,16.3,17.17,1,0,0,0
14,1,0,Brazil,Mexico City,Entertainment,Credit Card,Mobile,30,728,6.7,4030.14,7.99,139,16,101.3,1.07,0,0,0,0
7,0,0,Mexico,Vancouver,Online Shopping,Credit Card,ATM,18,770,6.0,39889.05,38.76,133,11,5.9,32.88,0,0,0,0
16,1,0,India,London,Gaming,Credit Card,Desktop,42,621,20.5,3462.3,66.63,152,20,4.1,6.05,0,0,0,0
1,1,1,USA,Delhi,Crypto Exchange,Credit Card,Desktop,48,706,5.2,201.09,220.17,147,11,9.5,1.34,0,0,0,0
13,0,0,Brazil,Vancouver,Restaurant,Mobile Payment,ATM,49,726,5.3,5851.19,20.9,153,18,25.8,34.16,0,0,0,0
5,0,1,Germany,Paris,Clothing,Crypto,Mobile,39,604,0.7,2769.33,20.6,164,15,3.8,40.79,0,3,1,0
10,0,0,India,São Paulo,Education,Credit Card,Desktop,43,591,3.9,54553.87,72.94,151,18,10.2,14.21,0,3,0,0
2,0,1,Japan,New York,Education,Credit Card,Mobile,47,761,6.9,38982.64,23.43,151,17,6.7,4.55,0,3,0,0
6,0,1,Germany,Berlin,Fuel,Debit Card,Mobile,25,745,4.4,14081.01,24.62,146,22,1.2,0.06,1,0,0,0
13,0,0,UK,Berlin,Crypto Exchange,Bank Transfer,Desktop,26,716,1.9,886.5,52.0,161,18,10.3,0.62,0,0,0,0
5,0,1,UK,Guadalajara,Jewelry,Debit Card,Mobile,18,620,4.7,3095.56,238.7,171,17,1.0,13.72,0,1,0,0
13,1,0,USA,Sydney,Restaurant,Debit Card,POS Terminal,32,739,4.0,14873.98,42.16,145,30,38.9,50.3,0,3,0,0
19,0,0,India,Munich,Clothing,Debit Card,ATM,68,677,13.8,3562.89,103.64,148,14,16.7,0.44,0,0,1,0
17,0,0,Brazil,Munich,Electronics,Mobile Payment,Desktop,45,706,3.5,71750.85,286.71,157,24,2.0,3.57,0,0,0,0
13,0,0,Brazil,Mumbai,Restaurant,Mobile Payment,Desktop,38,681,2.9,650.44,152.33,146,20,7.4,20.85,1,0,0,0
20,0,0,Australia,Vancouver,Travel,Mobile Payment,POS Terminal,29,665,2.2,11592.33,413.11,136,23,8.8,0.93,0,0,0,0
17,0,0,UK,New York,Restaurant,Credit Card,POS Terminal,35,776,1.4,13602.17,201.62,139,29,16.5,45.98,0,0,0,0
14,0,0,Germany,Melbourne,Education,Credit Card,Desktop,39,785,3.2,35939.53,121.13,129,25,20.5,7.65,0,2,0,0
12,1,0,Japan,Berlin,Jewelry,Bank Transfer,Desktop,35,731,9.5,1450.92,201.51,147,17,47.4,16.93,0,2,0,0
5,0,1,Brazil,Osaka,ATM Withdrawal,Debit Card,Mobile,37,690,2.6,3246.9,42.16,136,17,3.2,3.84,0,0,0,0
13,0,0,UK,Los Angeles,Fuel,Crypto,Tablet,49,657,4.9,11624.6,12.43,152,17,0.1,11.35,0,0,0,0
8,1,0,USA,Lyon,Education,Bank Transfer,Mobile,19,699,5.3,8278.54,34.62,151,14,26.4,12.55,0,0,0,0
9,0,0,USA,Osaka,Education,Debit Card,Mobile,59,696,1.7,3576.19,77.47,139,16,4.7,18.82,0,0,0,0
22,1,1,Brazil,Tokyo,Grocery,Credit Card,Tablet,48,649,0.7,17014.78,196.68,180,20,16.2,2.64,0,2,0,0
19,1,0,France,London,Entertainment,Credit Card,Tablet,23,850,6.6,46505.23,10.52,156,19,9.1,17.6,0,0,0,0
18,0,0,USA,Osaka,Travel,Credit Card,Tablet,49,698,15.4,3442.09,374.6,129,23,22.5,28.36,0,0,1,0
16,0,0,Mexico,Osaka,Entertainment,Debit Card,Desktop,36,768,5.3,17572.05,82.6,171,24,15.8,2.74,0,0,0,0
9,0,0,Australia,Osaka,Restaurant,Credit Card,POS Terminal,28,641,2.1,21219.86,164.49,147,24,3.3,25.61,0,1,1,0
0,0,1,France,Melbourne,Grocery,Crypto,Tablet,42,593,4.1,9616.1,9.79,142,19,37.9,55.26,1,0,0,0
20,0,0,UK,Tokyo,Electronics,Debit Card,Mobile,37,707,3.7,7556.59,930.01,137,27,18.7,29.75,0,0,0,0
6,1,1,USA,Guadalajara,ATM Withdrawal,Mobile Payment,Desktop,54,787,1.2,924.63,27.17,140,16,13.6,9.36,1,0,0,0
19,0,0,Mexico,Manchester,Education,Debit Card,Desktop,64,590,19.2,615.79,15.7,134,26,14.5,0.06,0,0,0,0
7,0,0,Japan,Mumbai,Utilities,Mobile Payment,ATM,30,649,6.1,9914.55,8.44,159,20,4.4,5.35,0,0,0,0
22,0,1,USA,Osaka,Education,Bank Transfer,Mobile,54,602,2.5,5874.45,74.72,150,22,7.5,8.52,0,0,0,0
12,0,0,USA,Toronto,ATM Withdrawal,Debit Card,Desktop,25,771,4.4,6912.1,151.47,134,18,11.2,0.41,0,0,0,0
8,1,0,USA,New York,Clothing,Debit Card,Mobile,46,685,9.9,16120.82,118.2,147,21,43.0,16.59,0,0,0,0
3,1,1,India,São Paulo,Entertainment,Mobile Payment,ATM,28,678,3.1,5166.69,104.15,138,14,42.9,5.1,0,0,1,0
7,0,0,Canada,Rio,Grocery,Debit Card,POS Terminal,43,709,5.9,21482.47,172.78,149,14,15.7,10.61,0,0,0,0
18,0,0,Mexico,London,ATM Withdrawal,Debit Card,Desktop,44,619,2.5,11997.5,256.17,138,30,8.4,7.37,0,0,0,0
19,0,0,Canada,London,Fuel,Crypto,Desktop,36,631,1.1,42291.58,217.13,159,25,5.2,4.18,0,0,0,0
3,0,1,India,Berlin,Jewelry,Credit Card,Mobile,56,563,8.9,6046.78,1234.71,140,19,28.3,15.5,0,0,0,0
19,1,0,USA,New York,Entertainment,Credit Card,Mobile,59,776,1.7,25128.48,460.4,156,30,9.4,6.37,1,0,0,0
7,1,0,USA,Melbourne,Gaming,Debit Card,Tablet,37,723,0.2,4546.35,234.07,144,23,61.0,16.3,1,0,0,0
2,1,1,India,Delhi,Fuel,Mobile Payment,POS Terminal,32,717,11.9,3424.12,36.58,167,25,2.0,41.65,0,0,0,0
6,0,1,USA,Munich,Electronics,Credit Card,Tablet,45,633,5.8,35073.54,174.91,138,22,2.6,9.53,0,0,0,0
1,1,1,USA,Mexico City,ATM Withdrawal,Credit Card,Mobile,37,705,1.8,20309.63,94.55,158,23,56.0,12.72,0,0,1,0
6,0,1,USA,Rio,Electronics,Bank Transfer,ATM,42,657,8.9,29718.28,168.35,136,20,9.2,9.57,0,0,0,0
4,1,1,India,Manchester,Healthcare,Credit Card,Mobile,18,519,2.8,1688.84,62.68,148,21,5.7,29.29,0,1,0,0
10,1,0,India,Munich,Fuel,Credit Card,Mobile,18,673,15.6,45468.5,114.51,152,24,9.0,32.38,0,0,0,0
18,0,0,Japan,Mexico City,Fuel,Debit Card,Mobile,45,770,3.9,4959.84,40.92,140,20,10.7,3.56,0,0,0,0
3,0,1,France,London,Online Shopping,Debit Card,ATM,36,509,0.7,3587.54,230.8,122,16,4.1,12.84,1,0,1,0
23,0,1,Mexico,Delhi,Utilities,Credit Card,Desktop,67,704,7.4,10476.61,21.62,154,14,4.4,4.55,1,0,0,0
15,1,0,UK,Lyon,Gaming,Mobile Payment,Desktop,35,696,1.4,1086.11,16.65,160,13,47.4,1.2,0,2,0,0
4,1,1,USA,Guadalajara,Clothing,Mobile Payment,Mobile,30,568,4.6,206443.97,11.85,150,17,8.9,13.63,0,0,0,0
18,1,0,Brazil,London,Restaurant,Crypto,Desktop,24,719,5.7,4287.26,51.08,138,22,41.6,15.75,0,0,0,0
22,1,1,Australia,Mumbai,Crypto Exchange,Debit Card,Mobile,31,665,18.9,3365.07,313.2,158,24,4.3,8.37,0,0,0,0
17,0,0,USA,Lyon,ATM Withdrawal,Debit Card,POS Terminal,38,706,1.1,662.53,34.33,161,23,20.9,9.46,0,0,0,0
20,1,0,Mexico,London,Electronics,Credit Card,Desktop,31,646,0.3,4228.95,447.12,169,14,72.7,2.56,0,2,1,1
10,0,0,UK,Los Angeles,Healthcare,Debit Card,Mobile,49,680,0.7,3504.54,10.45,155,24,3.0,14.5,0,0,0,0
3,0,1,Germany,Mumbai,Fuel,Debit Card,Mobile,49,825,2.4,15113.25,130.75,160,16,48.4,19.07,0,0,0,0
13,1,0,USA,Melbourne,Grocery,Mobile Payment,Tablet,31,613,3.4,2021.99,166.44,145,15,14.9,4.55,0,1,0,0
22,0,1,India,Sydney,Fuel,Mobile Payment,Tablet,53,699,1.7,28073.23,170.49,158,28,4.2,1.4,0,1,0,0
3,0,1,India,Tokyo,Restaurant,Bank Transfer,Mobile,44,768,1.7,9785.31,793.36,146,22,18.3,4.64,0,0,0,0
5,1,1,France,New York,Crypto Exchange,Bank Transfer,Mobile,53,597,2.5,9604.65,97.15,137,25,1.2,16.98,0,0,0,0
0,0,1,USA,Sydney,Education,Debit Card,Tablet,49,703,3.7,7398.8,101.31,150,23,11.8,12.26,0,0,0,0
7,0,0,Brazil,Munich,Restaurant,Debit Card,Mobile,32,681,2.7,5666.02,70.76,141,19,0.6,50.42,0,0,0,0
7,0,0,France,London,Healthcare,Bank Transfer,Desktop,57,681,5.4,1277.42,72.52,152,23,2.5,14.29,0,1,0,0
11,0,0,Australia,São Paulo,Travel,Bank Transfer,POS Terminal,63,737,8.8,17384.05,141.78,146,21,2.8,7.42,0,1,0,0
20,0,0,Canada,Los Angeles,Electronics,Credit Card,Desktop,78,632,0.4,3793.72,27.66,156,19,18.8,2.17,0,1,1,0
17,0,0,UK,Delhi,Travel,Credit Card,Mobile,55,587,1.6,34572.42,558.88,123,23,23.2,5.86,0,0,0,0
1,0,1,USA,Melbourne,Crypto Exchange,Bank Transfer,POS Terminal,58,753,9.5,6739.2,189.84,133,17,5.6,22.96,0,0,0,0
12,1,0,UK,Berlin,Utilities,Crypto,Desktop,18,773,9.6,1486.15,24.91,154,8,20.5,1.66,0,0,0,0
0,0,1,Japan,Tokyo,Jewelry,Credit Card,Desktop,49,617,2.7,2172.48,360.54,152,8,27.8,5.18,0,0,0,0
21,0,0,UK,Toronto,Online Shopping,Credit Card,Tablet,46,652,7.9,19745.1,45.08,159,12,11.8,1.59,0,5,0,0
11,0,0,Canada,São Paulo,Jewelry,Credit Card,Mobile,49,838,0.2,2797.58,240.53,151,13,23.5,6.52,0,0,0,0
1,1,1,USA,Melbourne,Education,Credit Card,Desktop,43,602,2.1,4604.74,316.56,157,15,6.9,9.06,0,0,1,0
9,0,0,Mexico,Vancouver,Crypto Exchange,Mobile Payment,Desktop,47,688,0.8,2873.46,14.35,139,15,10.4,24.63,0,0,0,0
12,0,0,USA,Guadalajara,Clothing,Credit Card,ATM,52,636,6.8,3549.53,62.51,162,18,67.2,15.57,0,0,0,0
8,0,0,USA,Munich,Education,Credit Card,Tablet,43,712,0.7,4104.43,69.8,140,16,0.6,36.28,0,0,0,0
21,0,0,Brazil,Guadalajara,Fuel,Mobile Payment,Mobile,31,645,8.2,4141.44,22.37,157,19,3.1,29.61,0,0,0,0
11,0,0,USA,Guadalajara,Clothing,Credit Card,Mobile,54,669,6.5,21365.26,16.58,157,21,47.9,1.86,0,0,0,0
10,1,0,India,Mumbai,Travel,Bank Transfer,POS Terminal,45,619,3.7,9233.43,266.19,147,31,18.6,17.64,0,3,0,0
16,0,0,UK,Delhi,Jewelry,Bank Transfer,Mobile,66,655,29.1,1690.5,599.46,158,30,25.6,3.2,0,0,0,1
14,0,0,Japan,Berlin,ATM Withdrawal,Debit Card,Mobile,55,578,2.8,4024.04,349.26,115,20,49.0,10.07,0,0,0,0
7,0,0,Canada,Tokyo,Utilities,Debit Card,Tablet,31,811,0.5,8423.89,31.51,134,20,7.3,5.8,0,0,0,0
5,0,1,USA,Vancouver,Grocery,Crypto,ATM,27,630,4.0,23840.61,61.73,162,27,7.5,0.06,1,0,0,0
2,1,1,France,Manchester,Crypto Exchange,Credit Card,Mobile,68,723,6.1,17074.67,136.06,151,25,11.6,24.63,0,0,0,0
1,1,1,Australia,Paris,Utilities,Debit Card,Mobile,59,730,1.8,13398.74,62.03,151,20,2.3,20.34,0,0,0,0
19,1,0,USA,Munich,Entertainment,Credit Card,ATM,18,552,2.7,9533.45,69.65,140,17,0.1,6.18,0,0,0,0
20,0,0,USA,Berlin,Travel,Mobile Payment,ATM,39,612,0.7,2435.12,3548.63,154,23,12.5,20.12,0,0,0,0
9,0,0,USA,Lyon,Online Shopping,Debit Card,Desktop,37,602,0.4,6250.81,103.1,167,15,5.6,0.76,1,5,0,0
15,1,0,Germany,Melbourne,Utilities,Debit Card,ATM,54,778,0.1,6029.27,333.92,160,13,12.1,9.56,0,0,0,0
19,0,0,Canada,Guadalajara,Travel,Cheque,ATM,21,586,3.0,4955.16,292.58,151,14,3.9,0.23,0,1,0,0
5,0,1,India,Toronto,Utilities,Cheque,Desktop,43,651,4.6,9327.17,18.02,160,19,13.2,23.97,0,3,1,0
23,0,1,USA,Manchester,Entertainment,Credit Card,Mobile,29,641,5.5,72660.69,13.17,145,25,20.6,17.97,0,0,0,0
15,0,0,Mexico,Munich,Crypto Exchange,Bank Transfer,ATM,29,600,1.6,59460.12,12.52,167,19,12.2,13.76,1,0,0,0
3,0,1,Germany,Osaka,Gaming,Bank Transfer,POS Terminal,27,782,0.3,10310.97,30.98,124,11,1.8,2.13,0,0,0,0
8,1,0,USA,Toronto,Jewelry,Mobile Payment,Mobile,50,679,1.0,7803.73,798.18,154,29,5.0,0.65,1,1,0,1
23,0,1,France,Osaka,Fuel,Credit Card,Desktop,18,581,6.4,3890.93,65.96,167,20,2.3,11.77,0,0,0,0
16,1,0,Brazil,Melbourne,Fuel,Debit Card,Mobile,30,782,11.3,5332.6,71.01,149,16,3.4,29.46,0,0,0,0
21,1,0,USA,New York,Entertainment,Credit Card,ATM,45,567,0.5,2968.11,37.78,166,19,7.0,13.23,0,0,0,0
18,0,0,France,London,Electronics,Debit Card,Mobile,53,777,16.6,69161.44,2621.24,147,17,71.9,14.96,1,0,0,0
2,0,1,Japan,Mexico City,Grocery,Debit Card,Mobile,41,669,2.3,22764.12,112.4,166,24,7.2,54.71,0,0,0,0
9,0,0,India,Rio,Online Shopping,Bank Transfer,ATM,35,630,11.0,24867.99,11.61,144,17,1.7,5.01,0,0,0,0
3,0,1,Germany,Tokyo,Entertainment,Debit Card,Tablet,64,646,4.6,1240.05,38.63,141,22,15.1,2.95,0,0,0,0
14,0,0,Brazil,Toronto,Restaurant,Bank Transfer,Mobile,53,625,0.4,5744.42,123.68,159,28,38.3,2.35,0,0,0,0
2,0,1,France,São Paulo,Education,Debit Card,Mobile,69,616,2.7,3645.21,62.72,149,20,31.5,13.92,0,2,0,0
22,0,1,USA,Mexico City,Clothing,Credit Card,Desktop,68,644,0.2,19077.89,287.02,158,23,8.0,1.42,0,0,0,0
17,0,0,USA,Rio,Restaurant,Debit Card,Tablet,41,718,4.1,3871.15,128.44,147,17,21.6,36.34,0,0,1,1
11,1,0,Germany,Mumbai,Online Shopping,Credit Card,Desktop,46,723,5.1,1665.23,52.94,134,26,20.5,14.77,0,0,0,0
16,0,0,USA,Paris,Fuel,Crypto,POS Terminal,52,734,1.9,6329.16,159.59,137,17,26.4,10.89,0,0,0,0
17,1,0,USA,São Paulo,Electronics,Debit Card,Mobile,40,714,0.5,7025.57,352.74,149,20,14.0,2.68,0,1,0,0
7,0,0,UK,Toronto,Jewelry,Cheque,Mobile,48,757,1.4,11173.25,180.01,155,20,24.3,8.48,0,0,0,0
6,0,1,Brazil,London,Entertainment,Cheque,Mobile,55,761,2.0,13890.05,70.02,120,20,15.4,0.69,0,0,0,0
12,0,0,USA,Rio,Electronics,Bank Transfer,Desktop,32,687,0.3,5004.16,870.88,171,21,19.2,17.75,0,0,0,0
5,0,1,India,Tokyo,Electronics,Credit Card,Mobile,44,670,6.2,1012.94,231.17,168,16,1.5,6.7,0,0,0,0
4,0,1,Mexico,Vancouver,Healthcare,Debit Card,POS Terminal,18,752,1.6,15147.47,78.03,140,27,0.6,36.79,0,2,0,1
9,0,0,USA,Los Angeles,Travel,Mobile Payment,Desktop,24,703,0.1,15405.02,768.6,149,19,5.5,37.39,0,4,0,0
2,1,1,Mexico,Toronto,Grocery,Bank Transfer,Desktop,42,594,2.1,5602.41,11.94,134,16,3.5,3.08,0,0,0,0
17,0,0,Japan,New York,ATM Withdrawal,Bank Transfer,Desktop,43,614,9.2,5622.75,187.94,151,20,44.5,14.89,0,0,1,0
16,1,0,Canada,Guadalajara,Utilities,Debit Card,Mobile,51,637,12.6,4441.67,123.41,134,27,4.1,1.18,0,0,0,0
23,0,1,India,Toronto,Travel,Crypto,Mobile,25,704,3.9,3210.0,160.01,151,18,19.5,10.99,0,0,0,0
23,1,1,Brazil,Guadalajara,Grocery,Debit Card,Mobile,59,703,13.3,5084.95,111.83,146,20,34.0,0.14,0,1,0,1
17,0,0,Germany,Paris,Healthcare,Mobile Payment,Mobile,46,631,0.6,65457.2,147.5,149,16,8.3,6.54,0,0,1,0
13,0,0,USA,Manchester,Travel,Bank Transfer,Mobile,45,723,2.4,14303.57,1546.06,164,32,6.2,2.67,0,2,0,0
5,0,1,USA,Mexico City,Travel,Bank Transfer,Tablet,37,613,1.1,1134.21,1449.04,163,16,19.5,6.0,0,2,0,1
4,0,1,USA,Guadalajara,Clothing,Mobile Payment,Mobile,45,660,4.4,13501.23,20.22,162,18,9.5,23.42,0,0,0,0
12,0,0,Canada,Guadalajara,Fuel,Bank Transfer,ATM,18,645,8.3,1969.56,13.61,150,20,11.9,4.22,0,0,0,0
9,0,0,Canada,Guadalajara,Crypto Exchange,Mobile Payment,Mobile,48,426,0.9,5432.69,9.71,152,20,18.9,15.89,0,0,0,0
8,1,0,Canada,Mexico City,ATM Withdrawal,Debit Card,POS Terminal,73,797,3.2,11886.35,93.6,167,19,49.8,2.64,0,0,0,0
9,0,0,Brazil,Tokyo,Jewelry,Debit Card,Mobile,64,637,1.7,24115.73,504.01,137,14,26.8,38.97,0,0,0,1
